Step number720, going left
Step number721, going left
Step number722, going down
Step number723, going down
Step number724, going down
Step number725, going left
Step number726, going left
Step number727, going down
Step number728, going down
Step number729, going down
Step number730, going down
Step number731, going down
Step number732, going down
Step number733, going down
Step number734, going down
Step number735, going down
Step number736, going down
Step number737, going down
Step number738, going down
Step number739, going down
Step number740, going down
Step number741, going down
Step number742, going down
Step number743, going right
Step number744, going right
Step number745, going down
Step number746, going down
Step number747, going left
Step number748, going left
Step number749, going down
Step number750, going down
Step number751, going right
Step number752, going right
Step number753, going down
Step number754, going down
Step number755, going down
Step number756, going down
Step number757, going down
Step number758, going down
Step number759, going down
Step number760, going down
Step number761, going down
Step number762, going down
Step number763, going down
Step number764, going down
Step number765, going down
Step number766, going down
Step number767, going down
Step number768, going down
Step number769, going down
Step number770, going down
Step number771, going down
Step number772, going down
Step number773, going down
Step number774, going down
Step number775, going down
Step number776, going down
Step number777, going down
Step number778, going down
Step number779, going down
Step number780, going down
Step number781, going down
Step number782, going down
Step number783, going right
Step number784, going right
Step number785, going right
Step number786, going right
Step number787, going right
Step number788, going right
Step number789, going right
Step number790, going right
Step number791, going right
Step number792, going right
Step number793, going right
Step number794, going right
Step number795, going right
Step number796, going right
Step number797, going right
Step number798, going right
Step number799, going right
Step number800, going right
Step number801, going right
Step number802, going right
Step number803, going right
Step number804, going right
Step number805, going right
Step number806, going right
Step number807, going right
Step number808, going right
Step number809, going right
Step number810, going right
Step number811, going right
Step number812, going right
Step number813, going right
Step number814, going right
Step number815, going right
Step number816, going right
Step number817, going right
Step number818, going right
Step number819, going right
Step number820, going right
Step number821, going right
Step number822, going right
Step number823, going right
Step number824, going right
Step number825, going right
Step number826, going right
Step number827, going right
Step number828, going right
Step number829, going right
Step number830, going right
Step number831, going right
Step number832, going right
Step number833, going right
Step number834, going right
Step number835, going right
Step number836, going right
Step number837, going up
Step number838, going up
Step number839, going up
Step number840, going left
Step number841, going left
Step number842, going left
Step number843, going left
Step number844, going left
Step number845, going left
Step number846, going left
Step number847, going left
Step number848, going left
Step number849, going left
Step number850, going left
Step number851, going left
Step number852, going left
Step number853, going left
Step number854, going left
Step number855, going left
Step number856, going left
Step number857, going left
Step number858, going left
Step number859, going left
Step number860, going up
Step number861, going up
Step number862, going right
Step number863, going right
Step number864, going right
Step number865, going right
Step number866, going right
Step number867, going right
Step number868, going right
Step number869, going right
Step number870, going right
Step number871, going right
Step number872, going right
Step number873, going right
Step number874, going right
Step number875, going up
Step number876, going right
Step number877, going up
Step number878, going up
Step number879, going up
Step number880, going right
Step number881, going right
Step number882, going left
Step number883, going left
Step number884, going left
Step number885, going left
Step number886, going left
Step number887, going left
Step number888, going left
Step number889, going left
Step number890, going left
Step number891, going left
Step number892, going left
Step number893, going left
Step number894, going left
Step number895, going left
Step number896, going left
Step number897, going left
Step number898, going left
Step number899, going up
Step number900, going up
Step number901, going up
Step number902, going left
Step number903, going left
Step number904, going down
Step number905, going down
Step number906, going down
Step number907, going down
Step number908, going down
Step number909, going down
Step number910, going down
Step number911, going down
Step number912, going down
Step number913, going down
Step number914, going down
Step number915, going down
Step number916, going down
Step number917, going down
Step number918, going down
Step number919, going down
Step number920, going down
Step number921, going down
Step number922, going down
Step number923, going down
Step number924, going down
Step number925, going down
Step number926, going down
Step number927, going down
Step number928, going down
Step number929, going down
Step number930, going down
Step number931, going down
Step number932, going down
Step number933, going down
Step number934, going down
Step number935, going up
Step number936, going up
Step number937, going up
Step number938, going right
Step number939, going right
Step number940, going down
Step number941, going down
Step number942, going down
Step number943, going down
Step number944, going down
Step number945, going down
Step number946, going down
Step number947, going down
Step number948, going down
Step number949, going down
Step number950, going down
Step number951, going down
Step number952, going down
Step number953, going down
Step number954, going down
Step number955, going down
Step number956, going down
Step number957, going down
Step number958, going down
Step number959, going down
Step number960, going down
Step number961, going down
Step number962, going down
Step number963, going down
Step number964, going down
Step number965, going down
Step number966, going down
Step number967, going down
Step number968, going right
Step number969, going right
Step number970, going right
Step number971, going right
Step number972, going right
Step number973, going right
Step number974, going right
Step number975, going right
Step number976, going right
Step number977, going right
Step number978, going right
Step number979, going right
Step number980, going right
Step number981, going right
Step number982, going right
Step number983, going right
Step number984, going right
Step number985, going right
Step number986, going right
Step number987, going right
Step number988, going right
Step number989, going right
Step number990, going right
Step number991, going right
Step number992, going right
Step number993, going right
Step number994, going right
Step number995, going right
Step number996, going right
Step number997, going right
Step number998, going right
Step number999, going right
Step number1000, going right
Step number1001, going right
Step number1002, going right
Step number1003, going right
Step number1004, going right
Step number1005, going right
Step number1006, going right
Step number1007, going right
Step number1008, going right
Step number1009, going right
Step number1010, going right
Step number1011, going right
Step number1012, going right
Step number1013, going right
Step number1014, going right
Step number1015, going right
Step number1016, going right
Step number1017, going right
Step number1018, going right
Step number1019, going right
Step number1020, going right
Step number1021, going right
Step number1022, going down
Step number1023, going down
Step number1024, going left
Step number1025, going left
Step number1026, going left
Step number1027, going left
Step number1028, going left
Step number1029, going left
Step number1030, going left
Step number1031, going left
Step number1032, going left
Step number1033, going left
Step number1034, going left
Step number1035, going left
Step number1036, going left
Step number1037, going left
Step number1038, going left
Step number1039, going left
Step number1040, going left
Step number1041, going left
Step number1042, going left
Step number1043, going left
Step number1044, going left
Step number1045, going left
Step number1046, going down
Step number1047, going down
Step number1048, going right
Step number1049, going right
Step number1050, going right
Step number1051, going right
Step number1052, going right
Step number1053, going right
Step number1054, going right
Step number1055, going right
Step number1056, going right
Step number1057, going right
Step number1058, going right
Step number1059, going right
Step number1060, going right
Step number1061, going right
Step number1062, going right
Step number1063, going right
Step number1064, going right
Step number1065, going right
Step number1066, going right
Step number1067, going right
Step number1068, going right
Step number1069, going right
Step number1070, going right
Step number1071, going right
Step number1072, going right
Step number1073, going right
Step number1074, going right
Step number1075, going right
Step number1076, going right
Step number1077, going right
Step number1078, going right
Step number1079, going right
Step number1080, going right
Step number1081, going right
Step number1082, going right
Step number1083, going down
Step number1084, going down
Step number1085, going down
Step number1086, going right
Step number1087, going right
Step number1088, going down
Step number1089, going down
Step number1090, going down
Step number1091, going down
Step number1092, going down
Step number1093, going down
Step number1094, going down
Step number1095, going down
Step number1096, going down
Step number1097, going down
Step number1098, going down
Step number1099, going down
Step number1100, going down
Step number1101, going down
Step number1102, going down
Step number1103, going down
Step number1104, going down
Step number1105, going down
Step number1106, going down
Step number1107, going down
Step number1108, going left
Step number1109, going left
Step number1110, going down
Step number1111, going down
Step number1112, going right
Step number1113, going down
Step number1114, going right
Step number1115, going down
Step number1116, going down
Step number1117, going down
Step number1118, going down
Step number1119, going down
Step number1120, going down
Step number1121, going down
Step number1122, going down
Step number1123, going down
Step number1124, going down
Step number1125, going down
Step number1126, going down
Step number1127, going down
Step number1128, going down
Step number1129, going down
Step number1130, going down
Step number1131, going down
Step number1132, going down
Step number1133, going down
Step number1134, going down
Step number1135, going down
Step number1136, going down
Step number1137, going down
Step number1138, going down
Step number1139, going down
Step number1140, going down
Step number1141, going down
Step number1142, going down
Step number1143, going down
Step number1144, going down
Step number1145, going down
Step number1146, going down
Step number1147, going down
Step number1148, going down
Step number1149, going down
Step number1150, going down
Step number1151, going down
Step number1152, going down
Step number1153, going down
Step number1154, going down
Step number1155, going down
Step number1156, going down
Step number1157, going down
Step number1158, going down
Step number1159, going down
Step number1160, going down
Step number1161, going down
Step number1162, going down
Step number1163, going down
Step number1164, going down
Step number1165, going down
Step number1166, going down
Step number1167, going down
Step number1168, going down
Step number1169, going down
Step number1170, going down
Step number1171, going down
Step number1172, going down
Step number1173, going down
Step number1174, going down
Step number1175, going down
Step number1176, going down
Step number1177, going down
Step number1178, going down
Step number1179, going left
Step number1180, going left
Step number1181, going left
Step number1182, going left
Step number1183, going left
Step number1184, going left
Step number1185, going left
Step number1186, going left
Step number1187, going left
Step number1188, going left
Step number1189, going left
Step number1190, going left
Step number1191, going left
Step number1192, going left
Step number1193, going left
Step number1194, going left
Step number1195, going left
Step number1196, going left
Step number1197, going left
Step number1198, going left
Step number1199, going left
Step number1200, going left
Step number1201, going left
Step number1202, going left
Step number1203, going left
Step number1204, going left
Step number1205, going left
Step number1206, going left
Step number1207, going left
Step number1208, going right
Step number1209, going right
Step number1210, going right
Step number1211, going right
Step number1212, going right
Step number1213, going right
Step number1214, going right
Step number1215, going right
Step number1216, going right
